iter	Logloss
0	0.6824864297
1	0.6708719368
2	0.6609732348
3	0.6511619448
4	0.6437518027
5	0.6342412485
6	0.6257076419
7	0.6184295118
8	0.6111851103
9	0.6038180312
10	0.5977570016
11	0.5922609798
12	0.5866865346
13	0.5822963737
14	0.5782889779
15	0.5739714177
16	0.5696206758
17	0.564997377
18	0.5619366142
19	0.5595620757
20	0.5567259852
21	0.55365359
22	0.5504518649
23	0.5480112498
24	0.5452045206
25	0.5424467016
26	0.5401348244
27	0.5376423734
28	0.5352410995
29	0.5333961583
30	0.5314283705
31	0.529341997
32	0.5277235182
33	0.5253266559
34	0.5232739802
35	0.5219930072
36	0.5194980802
37	0.5175456039
38	0.5154320945
39	0.5140349803
40	0.5120812158
41	0.5108230432
42	0.5093097857
43	0.5079967956
44	0.5065253735
45	0.5052891477
46	0.5045558747
47	0.5034687171
48	0.5024221346
49	0.5013260147
50	0.5006273036
51	0.4995727172
52	0.4984149113
53	0.4973583006
54	0.496619998
55	0.4958485234
56	0.4950063115
57	0.4943500933
58	0.4935653892
59	0.4928538669
60	0.4921984988
61	0.4914155997
62	0.49079038
63	0.4899233816
64	0.4890438621
65	0.488510991
66	0.487439842
67	0.4865925603
68	0.4860416312
69	0.4853839607
70	0.4846326886
71	0.4837819201
72	0.4832165112
73	0.4826819401
74	0.4817628784
75	0.4812295651
76	0.4805453209
77	0.4799352199
78	0.4793512381
79	0.4788470364
80	0.4784584469
81	0.4778298024
82	0.4774597261
83	0.4768971602
84	0.4763684965
85	0.4760785308
86	0.4758329878
87	0.475271019
88	0.4749130237
89	0.4744813097
90	0.4739323384
91	0.4733973643
92	0.4728865393
93	0.4724458693
94	0.4719786044
95	0.4715980078
96	0.4710732677
97	0.4707180974
98	0.4703370127
99	0.4700118596
100	0.4697881687
101	0.4694434804
102	0.4690906416
103	0.4687984096
104	0.4684433376
105	0.4680808402
106	0.4677424772
107	0.4673592787
108	0.4670336475
109	0.4668124293
110	0.4664744371
111	0.4661693923
112	0.4657183205
113	0.4653689912
114	0.465148665
115	0.4646918924
116	0.464442283
117	0.4641308915
118	0.4638781954
119	0.4635155867
120	0.4631284352
121	0.4628237349
122	0.462568216
123	0.4623083016
124	0.4618022468
125	0.4616225657
126	0.4613683301
127	0.4611250025
128	0.4609853335
129	0.4606921975
130	0.4604092894
131	0.4601719012
132	0.4598304997
133	0.4596146591
134	0.4595053072
135	0.4591754505
136	0.4588552215
137	0.4586585018
138	0.4584652489
139	0.4583046703
140	0.4580674996
141	0.4577812692
142	0.4575653245
143	0.4573118418
144	0.4569901084
145	0.4568083234
146	0.4565793852
147	0.4563656574
148	0.4561597206
149	0.4559252651
150	0.4557399064
151	0.4556012266
152	0.4554974006
153	0.4553161333
154	0.4550649874
155	0.4549404715
156	0.4545913765
157	0.4543773842
158	0.4541094452
159	0.453909146
160	0.45371601
161	0.453498182
162	0.4533492452
163	0.4531942173
164	0.4530107113
165	0.4528954945
166	0.4527800745
167	0.4525740243
168	0.4523334041
169	0.4522174033
170	0.4521589168
171	0.4519014206
172	0.4516633788
173	0.4513949614
174	0.4513024181
175	0.4511245417
176	0.4510304754
177	0.4508642886
178	0.4505851349
179	0.4503839038
180	0.450118312
181	0.4499039222
182	0.4497508828
183	0.4496192668
184	0.4493889522
185	0.4490613218
186	0.4488079213
187	0.448611059
188	0.4484584131
189	0.4483199602
190	0.4481678493
191	0.4480289168
192	0.4478218742
193	0.4475256676
194	0.4473819069
195	0.4472589675
196	0.4471299987
197	0.4469658991
198	0.4467978329
199	0.4465505078
200	0.4463919354
201	0.4462370945
202	0.4460387963
203	0.445818899
204	0.4457444996
205	0.4456123724
206	0.4454790226
207	0.4452768648
208	0.4451130899
209	0.4450238334
210	0.4448338863
211	0.4446492486
212	0.4445054485
213	0.4443470832
214	0.4441699175
215	0.4440098603
216	0.4438645545
217	0.4436963636
218	0.4435246982
219	0.4434158968
220	0.4432206776
221	0.4430232251
222	0.4428924114
223	0.4427124447
224	0.4426008626
225	0.4424014916
226	0.4422383351
227	0.4421144958
228	0.4418450188
229	0.4417196504
230	0.4416068937
231	0.4413974548
232	0.4412252382
233	0.4411107472
234	0.4409800329
235	0.4408541849
236	0.4407112446
237	0.4405107021
238	0.4403186385
239	0.4401869294
240	0.4400425586
