iter	Passed	Remaining
0	11	13769
1	22	13582
2	38	15281
3	50	15230
4	63	15229
5	75	15104
6	88	15081
7	101	15141
8	113	15072
9	126	15066
10	137	14905
11	149	14779
12	160	14628
13	168	14305
14	179	14199
15	190	14096
16	201	14046
17	212	13931
18	223	13887
19	233	13781
20	244	13704
21	255	13674
22	265	13584
23	276	13567
24	287	13534
25	298	13473
26	308	13404
27	319	13372
28	330	13338
29	341	13302
30	350	13231
31	361	13197
32	372	13179
33	384	13194
34	397	13234
35	409	13247
36	421	13236
37	433	13248
38	446	13286
39	459	13329
40	472	13357
41	486	13402
42	498	13401
43	509	13378
44	522	13411
45	536	13467
46	548	13446
47	560	13440
48	570	13394
49	581	13375
50	593	13373
51	603	13320
52	614	13304
53	625	13264
54	635	13236
55	645	13195
56	658	13206
57	668	13158
58	678	13127
59	689	13096
60	699	13054
61	709	13030
62	720	13009
63	729	12948
64	739	12909
65	749	12882
66	760	12863
67	771	12841
68	781	12805
69	791	12784
70	802	12753
71	812	12727
72	822	12701
73	832	12670
74	843	12645
75	852	12605
76	864	12602
77	876	12609
78	887	12592
79	898	12585
80	911	12592
81	924	12606
82	936	12608
83	949	12614
84	962	12619
85	974	12629
86	987	12632
87	1000	12644
88	1013	12653
89	1026	12657
90	1038	12657
91	1052	12672
92	1065	12677
93	1077	12675
94	1090	12688
95	1103	12695
96	1118	12716
97	1130	12716
98	1143	12717
99	1154	12694
100	1165	12681
101	1177	12674
102	1190	12680
103	1203	12685
104	1214	12668
105	1226	12657
106	1239	12660
107	1253	12670
108	1266	12673
109	1278	12667
110	1291	12667
111	1302	12656
112	1311	12619
113	1322	12602
114	1332	12573
115	1341	12540
116	1352	12518
117	1363	12502
118	1372	12467
119	1383	12452
120	1393	12426
121	1404	12409
122	1417	12413
123	1430	12412
124	1442	12405
125	1452	12380
126	1461	12350
127	1471	12324
128	1481	12299
129	1492	12284
130	1503	12268
131	1515	12265
132	1527	12253
133	1539	12245
134	1550	12228
135	1560	12212
136	1571	12193
137	1581	12168
138	1592	12156
139	1602	12133
140	1613	12120
141	1625	12109
142	1635	12091
143	1648	12090
144	1659	12077
145	1670	12062
146	1682	12053
147	1695	12054
148	1707	12043
149	1719	12036
150	1731	12030
151	1744	12026
152	1756	12022
153	1769	12015
154	1781	12011
155	1793	12002
156	1805	11994
157	1818	11990
158	1829	11978
159	1840	11961
160	1853	11962
161	1866	11958
162	1879	11960
163	1889	11938
164	1899	11916
165	1910	11900
166	1921	11886
167	1931	11862
168	1942	11849
169	1952	11832
170	1963	11815
171	1974	11802
172	1985	11784
173	1995	11764
174	2005	11745
175	2016	11731
176	2027	11717
177	2041	11720
178	2052	11710
179	2065	11707
180	2077	11694
181	2087	11676
182	2097	11654
183	2106	11632
184	2115	11608
185	2127	11597
186	2138	11582
187	2148	11567
188	2159	11550
189	2168	11529
190	2178	11506
191	2189	11494
192	2199	11475
193	2208	11452
194	2219	11439
195	2229	11419
196	2240	11407
197	2251	11393
198	2262	11383
199	2273	11367
200	2284	11352
201	2294	11335
202	2305	11321
203	2316	11310
204	2329	11304
205	2339	11288
206	2349	11271
207	2361	11262
208	2372	11248
209	2383	11238
210	2395	11229
211	2406	11215
212	2416	11196
213	2427	11182
214	2437	11166
215	2445	11142
216	2456	11126
217	2467	11116
