iter	Passed	Remaining
0	10	5396
1	16	4189
2	23	3852
3	29	3653
4	35	3478
5	41	3392
6	47	3327
7	53	3302
8	59	3271
9	66	3244
10	72	3222
11	78	3197
12	84	3183
13	91	3168
14	98	3172
15	104	3162
16	110	3144
17	117	3134
18	123	3130
19	130	3139
20	137	3135
21	143	3123
22	150	3116
23	156	3105
24	163	3101
25	169	3094
26	173	3041
27	180	3043
28	186	3036
29	193	3030
30	199	3022
31	206	3014
32	212	3009
33	219	3005
34	226	3005
35	232	2998
36	239	2997
37	245	2990
38	252	2986
39	259	2979
40	265	2975
41	272	2971
42	278	2963
43	285	2960
44	292	2956
45	298	2948
46	305	2942
47	311	2935
48	317	2924
49	323	2914
50	331	2917
51	338	2915
52	344	2907
53	351	2901
54	357	2895
55	364	2887
56	370	2877
57	376	2868
58	381	2851
59	387	2844
60	393	2835
61	400	2827
62	407	2824
63	413	2817
64	420	2811
65	426	2803
66	432	2796
67	439	2789
68	444	2779
69	451	2773
70	457	2766
71	464	2760
72	470	2751
73	476	2743
74	483	2738
75	489	2731
76	495	2723
77	502	2716
78	508	2708
79	514	2702
80	521	2695
81	527	2688
82	534	2683
83	540	2675
84	546	2667
85	552	2659
86	558	2652
87	564	2643
88	570	2635
89	577	2632
90	584	2625
91	591	2621
92	597	2616
93	605	2614
94	612	2610
95	619	2605
96	626	2602
97	633	2598
98	640	2595
99	648	2592
100	654	2586
101	661	2579
102	667	2573
103	672	2562
104	679	2556
105	685	2547
106	691	2538
107	697	2531
108	704	2525
109	710	2520
110	717	2513
111	723	2506
112	729	2499
113	735	2491
114	742	2486
115	749	2479
116	755	2472
117	761	2465
118	767	2457
119	773	2450
120	779	2442
121	785	2435
122	791	2424
123	797	2419
124	803	2411
125	807	2395
126	813	2389
127	819	2383
128	826	2376
129	832	2370
130	839	2364
131	845	2357
132	851	2350
133	858	2343
134	864	2336
135	871	2332
136	877	2325
137	883	2318
138	889	2310
139	896	2304
140	902	2296
141	908	2290
142	914	2283
143	921	2277
144	927	2269
145	933	2263
146	939	2257
147	946	2250
148	952	2244
149	958	2237
150	965	2232
151	972	2227
152	979	2220
153	985	2214
154	992	2208
155	998	2202
156	1004	2195
157	1011	2189
158	1018	2184
159	1025	2179
160	1031	2172
161	1038	2167
162	1041	2152
163	1047	2146
164	1053	2139
165	1060	2133
166	1067	2127
167	1073	2121
168	1079	2114
169	1085	2107
170	1091	2100
171	1098	2094
172	1104	2088
173	1111	2081
174	1118	2077
175	1125	2071
176	1133	2067
177	1139	2061
178	1146	2056
179	1153	2050
180	1159	2044
181	1166	2037
182	1172	2031
183	1179	2024
184	1185	2018
185	1192	2012
186	1209	2023
187	1215	2017
188	1221	2010
189	1228	2004
190	1234	1997
191	1241	1991
192	1247	1984
193	1253	1977
194	1259	1970
195	1266	1963
196	1273	1958
197	1279	1951
198	1286	1945
199	1292	1938
200	1298	1931
201	1304	1924
202	1310	1917
203	1317	1911
204	1323	1904
205	1329	1897
206	1335	1890
207	1342	1884
208	1348	1877
209	1354	1870
210	1360	1863
211	1367	1857
212	1373	1850
213	1379	1844
214	1385	1837
215	1393	1831
216	1399	1825
217	1407	1820
218	1413	1814
219	1418	1805
220	1425	1799
221	1431	1792
222	1438	1786
223	1444	1779
224	1448	1770
225	1454	1763
226	1461	1757
227	1467	1751
228	1474	1744
229	1480	1737
230	1486	1731
231	1492	1724
232	1499	1718
233	1505	1711
234	1512	1705
235	1518	1699
236	1525	1692
237	1531	1686
238	1538	1679
239	1544	1672
240	1546	1662
241	1553	1655
242	1559	1649
243	1565	1642
244	1572	1636
245	1579	1630
246	1585	1624
247	1592	1618
248	1598	1611
249	1605	1605
250	1612	1599
251	1619	1593
252	1625	1586
253	1631	1579
254	1637	1573
255	1644	1566
256	1650	1560
257	1656	1553
258	1662	1547
259	1668	1540
260	1674	1533
261	1680	1526
262	1687	1520
263	1693	1514
264	1700	1507
265	1706	1501
266	1713	1494
267	1719	1488
268	1726	1482
269	1732	1475
270	1739	1469
271	1745	1463
272	1751	1456
273	1758	1450
274	1764	1443
275	1771	1437
276	1777	1431
277	1783	1424
278	1789	1417
279	1796	1411
280	1802	1404
281	1808	1398
282	1815	1391
283	1821	1385
284	1827	1378
285	1834	1372
286	1840	1366
287	1846	1359
288	1852	1352
289	1858	1345
290	1864	1339
291	1870	1332
292	1877	1326
293	1883	1319
294	1889	1313
295	1896	1306
296	1902	1300
297	1909	1294
298	1915	1287
299	1921	1281
300	1928	1274
301	1934	1268
302	1940	1261
303	1947	1255
304	1952	1248
305	1958	1241
306	1964	1235
307	1969	1227
308	1975	1221
309	1982	1214
310	1988	1208
311	1994	1202
312	2000	1195
313	2007	1189
314	2013	1182
315	2020	1176
316	2026	1170
317	2033	1163
318	2039	1157
319	2046	1150
320	2053	1144
321	2059	1138
322	2065	1131
323	2071	1125
324	2077	1118
325	2084	1112
326	2091	1106
327	2097	1100
328	2105	1094
329	2112	1088
330	2119	1081
331	2125	1075
332	2131	1069
333	2138	1062
334	2144	1056
335	2150	1049
336	2156	1043
337	2162	1036
338	2169	1030
339	2175	1023
340	2181	1017
341	2188	1010
342	2194	1004
343	2200	997
344	2206	991
345	2213	985
346	2219	978
347	2225	972
348	2232	965
349	2238	959
350	2244	952
351	2251	946
352	2257	939
353	2263	933
354	2270	927
355	2277	921
356	2283	914
357	2289	908
358	2296	901
359	2302	895
360	2309	889
361	2315	882
362	2321	876
363	2327	869
364	2334	863
365	2340	856
366	2346	850
367	2353	844
368	2359	837
369	2366	831
370	2372	825
371	2379	818
372	2385	812
373	2391	805
374	2397	799
375	2403	792
376	2410	786
377	2416	780
378	2423	773
379	2430	767
380	2436	760
381	2442	754
382	2449	748
383	2455	741
384	2461	735
385	2468	728
386	2474	722
387	2481	716
388	2488	709
389	2494	703
390	2501	697
391	2507	690
392	2513	684
393	2520	678
394	2527	671
395	2533	665
396	2539	658
397	2546	652
398	2552	646
399	2558	639
400	2565	633
401	2571	626
402	2577	620
403	2585	614
404	2591	607
405	2598	601
406	2604	595
407	2610	588
408	2616	582
409	2623	575
410	2629	569
411	2636	563
412	2643	556
413	2650	550
414	2657	544
415	2665	538
416	2672	531
417	2679	525
418	2686	519
419	2693	513
420	2699	506
421	2706	500
422	2713	493
423	2719	487
424	2725	480
425	2731	474
426	2738	468
427	2744	461
428	2750	455
429	2757	448
430	2763	442
431	2769	435
432	2775	429
433	2782	423
434	2788	416
435	2795	410
436	2802	403
437	2808	397
438	2815	391
439	2821	384
440	2827	378
441	2833	371
442	2840	365
443	2846	359
444	2852	352
445	2859	346
446	2865	339
447	2871	333
